Player,Year,School,G,YPG,TDPG,Team Yards,Team TDs,DR,MSY,MSTD,Type
Dami Ayoola,2016,South Alabama,13,31.46,0.46,389.4,3.1,11.46,8.08,14.84,Rushing
Charles Williams,2016,UNLV,12,64.25,0.25,404.4,3.6,11.42,15.89,6.94,Rushing
Jawon Hamilton,2016,Central Florida,13,43.69,0.31,350.8,3,11.39,12.45,10.33,Rushing
Mike Warren,2016,Iowa State,11,59.73,0.27,421.6,3.3,11.17,14.17,8.18,Rushing
Tyler Stehling,2016,Rice,11,30.55,0.45,384.6,3.2,11,7.94,14.06,Rushing
Aeris Williams,2016,Mississippi State,13,58.85,0.31,440.2,3.6,10.99,13.37,8.61,Rushing
Josh Allen,2016,Wyoming,14,37.64,0.57,434.6,4.3,10.96,8.66,13.26,Rushing
Patrick Mahomes,2016,Texas Tech,12,23.75,1,566.6,5.7,10.87,4.19,17.54,Rushing
Soso Jamabo,2016,UCLA,11,47.09,0.27,379.8,2.9,10.85,12.4,9.31,Rushing
Kyler Neal,2016,Georgia State,9,38,0.22,333.9,2.2,10.69,11.38,10,Rushing
Josh Cleveland,2016,Bowling Green State,11,62.73,0.18,407.1,3.1,10.61,15.41,5.81,Rushing
Khalfani Muhammad,2016,California,11,87.18,0.18,513.2,4.4,10.54,16.99,4.09,Rushing
Greg Windham,2016,Ohio,10,40.6,0.3,392.9,2.8,10.52,10.33,10.71,Rushing
Davon Jones,2016,Boston College,12,38.33,0.17,292.8,2.3,10.24,13.09,7.39,Rushing
Deshaun Watson,2016,Clemson,15,41.93,0.6,504.3,5,10.16,8.31,12,Rushing
Justin Davis,2016,Southern California,10,71,0.2,476.4,3.9,10.02,14.9,5.13,Rushing
Lamical Perine,2016,Florida,13,44.77,0.15,344,2.2,9.92,13.01,6.82,Rushing
Devwah Whaley,2016,Arkansas,13,57,0.23,428.5,3.6,9.85,13.3,6.39,Rushing
Chris Evans,2016,Michigan,13,53.92,0.31,424.9,4.7,9.64,12.69,6.6,Rushing
Lamar Jordan,2016,New Mexico,12,61.58,0.25,456.8,4.4,9.58,13.48,5.68,Rushing
Da'Leon Ward,2016,Texas Tech,8,69.88,0.38,566.6,5.7,9.5,12.33,6.67,Rushing
David Montgomery,2016,Iowa State,12,57.67,0.17,421.6,3.3,9.42,13.68,5.15,Rushing
Joshua Jacobs,2016,Alabama,14,51.64,0.29,455.3,3.9,9.39,11.34,7.44,Rushing
Charles Jones,2016,Kansas State,13,55.85,0.15,389.2,3.8,9.15,14.35,3.95,Rushing
Zach Green,2016,Arizona,10,37.7,0.3,413.1,3.3,9.11,9.13,9.09,Rushing
Shayne Davern,2016,Air Force,12,45.33,0.33,453.8,4.1,9.02,9.99,8.05,Rushing
Terry Swanson,2016,Toledo,13,50.54,0.38,517.8,4.8,8.84,9.76,7.92,Rushing
Jaxson Kincaide,2016,Nevada,12,35.17,0.25,382.2,3.1,8.63,9.2,8.06,Rushing
Shock Linwood,2016,Baylor,11,68.82,0.18,522.7,4.4,8.63,13.17,4.09,Rushing
Trace McSorley,2016,Penn State,14,26.07,0.5,435.6,4.5,8.55,5.98,11.11,Rushing
Justin Silmon,2016,Kansas State,12,38.83,0.25,389.2,3.8,8.28,9.98,6.58,Rushing
Anthony Anderson,2016,Marshall,10,35.5,0.2,350,3.3,8.1,10.14,6.06,Rushing
JaMycal Hasty,2016,Baylor,12,54.08,0.25,522.7,4.4,8.01,10.35,5.68,Rushing
D.J. Johnson,2016,Air Force,12,51.83,0.17,453.8,4.1,7.78,11.42,4.15,Rushing
Zack Moss,2016,Utah,10,38.6,0.2,430.7,3.1,7.71,8.96,6.45,Rushing
Mitch Trubisky,2016,North Carolina,13,24.31,0.38,439,3.9,7.64,5.54,9.74,Rushing
Tarean Folston,2016,Notre Dame,10,40,0.2,417.6,3.8,7.42,9.58,5.26,Rushing
Dalton Sturm,2016,UTSA,13,24.08,0.31,375.5,3.7,7.4,6.41,8.38,Rushing
Dru Brown,2016,Hawaii,13,23.54,0.31,391.3,3.6,7.31,6.02,8.61,Rushing
Patrick Taylor Jr.,2016,Memphis,12,48.58,0.17,464.1,4.4,7.17,10.47,3.86,Rushing
Quinton Baker,2016,Western Kentucky,13,45,0.31,523.1,5.5,7.12,8.6,5.64,Rushing
Xavier Hall,2016,New Mexico State,12,44.33,0.08,413.7,2.8,6.79,10.72,2.86,Rushing
Stephen Johnson,2016,Kentucky,12,27,0.25,422.8,3.6,6.67,6.39,6.94,Rushing
Jacques Patrick,2016,Florida State,13,28.54,0.31,466.4,4.3,6.64,6.12,7.16,Rushing
George Payne,2016,Southern Mississippi,13,43.31,0.15,475.4,4,6.43,9.11,3.75,Rushing
Manny Morgan,2016,Akron,9,47.22,0,387.4,3.2,6.09,12.19,0,Rushing
Dexter Williams,2016,Notre Dame,11,19.64,0.27,417.6,3.8,5.94,4.7,7.18,Rushing
Nate Starks,2016,UCLA,10,31.8,0.1,379.8,2.9,5.91,8.37,3.45,Rushing
Duke Carter IV,2016,Louisiana-Monroe,11,33.64,0,373.3,3.1,4.51,9.01,0,Rushing
Shaun Wick,2016,Wyoming,13,29.69,0.08,434.6,4.3,4.35,6.83,1.86,Rushing
Abdul Adams,2016,Oklahoma,7,44,0,554.8,5.6,3.97,7.93,0,Rushing
Miles Sanders,2016,Penn State,12,17.33,0.17,435.6,4.5,3.84,3.98,3.7,Rushing
Tavien Feaster,2016,Clemson,12,18.42,0.17,504.3,7.3,2.97,3.65,2.28,Rushing
Sewo Olonilua,2016,TCU,13,10.69,0.08,463.2,3.7,2.19,2.31,2.08,Rushing
Elijah Holyfield,2016,Georgia,5,9.6,0,384.9,2.6,1.25,2.49,0,Rushing
A.J. Ouellette,2015,Ohio,13,58.54,0.46,413.7,2.9,15.01,14.15,15.86,Rushing
Aaron Green,2015,Texas Christian,13,106.85,0.92,562.8,5,18.69,18.99,18.4,Rushing
Aaron Kemper,2015,Army,11,50.09,0.27,338.3,2.8,12.22,14.81,9.64,Rushing
Ahmad Bradshaw,2015,Army,8,59.38,0.63,338.3,2.8,20.03,17.55,22.5,Rushing
Alex Collins,2015,Arkansas,13,128.62,1.54,466.5,4.8,29.83,27.57,32.08,Rushing
Alex Gardner,2015,Florida International,12,100.17,0.83,347.8,3.1,27.79,28.8,26.77,Rushing
Algernon Brown,2015,Brigham Young,11,70.91,1.18,424.8,4.2,22.39,16.69,28.1,Rushing
Alonzo Smith,2015,Miami (OH),12,48.08,0.42,340.7,2.1,17.06,14.11,20,Rushing
Alvin Kamara,2015,Tennessee,13,76.08,0.77,422.3,3.8,19.14,18.02,20.26,Rushing
Andrew Buie,2015,Charlotte,12,47.92,0.08,337.1,1.8,9.33,14.22,4.44,Rushing
Anthone Taylor,2015,Buffalo,11,85,0.27,386.8,2.7,15.99,21.98,10,Rushing
Anthony Wales,2015,Western Kentucky,11,119.18,1,526.9,5.7,20.08,22.62,17.54,Rushing
Arkeel Newsome,2015,Connecticut,13,96.38,0.62,310.3,1.9,31.85,31.06,32.63,Rushing
Austin Walter,2015,Rice,12,37.08,0.08,402.3,3.5,5.75,9.22,2.29,Rushing
Baker Mayfield,2015,Oklahoma,13,31.15,0.54,530.2,5.4,7.94,5.88,10,Rushing
Ben Luckett,2015,Louisiana-Monroe,13,41.15,0.15,310.8,2.4,9.75,13.24,6.25,Rushing
Brandon Burks,2015,Troy,12,109.08,0.75,359.9,3,27.65,30.31,25,Rushing
Brandon Holloway,2015,Mississippi State,13,62.23,0.38,460.5,4.1,11.39,13.51,9.27,Rushing
Brandon Radcliff,2015,Louisville,12,54.5,0.58,416.1,3.4,15.08,13.1,17.06,Rushing
Brandon Ross,2015,Maryland,12,81.25,0.83,375,3,24.67,21.67,27.67,Rushing
Brandon Wilds,2015,South Carolina,9,78.78,0.33,362.2,2.3,18.05,21.75,14.35,Rushing
Brian Hill,2015,Wyoming,12,146.92,0.5,360.7,2.7,29.63,40.73,18.52,Rushing
Bryant Shirreffs,2015,Connecticut,12,41.92,0.25,310.3,1.9,13.33,13.51,13.16,Rushing
C.J. Prosise,2015,Notre Dame,10,133.7,1.2,466.8,4.1,28.96,28.64,29.27,Rushing
Chad Kelly,2015,Mississippi,13,39.15,0.77,517.8,4.9,11.64,7.56,15.71,Rushing
Charles Jones,2015,Kansas State,13,63.92,0.38,333,3.3,15.36,19.2,11.52,Rushing
Chase Price,2015,San Diego State,14,80.43,0.5,375.3,3.5,17.86,21.43,14.29,Rushing
Chris Carson,2015,Oklahoma State,12,57.25,0.33,479.6,4.5,9.64,11.94,7.33,Rushing
Chris Hairston,2015,East Carolina,12,78.92,0.75,415.7,3.4,20.52,18.98,22.06,Rushing
Chris Swain,2015,Navy,13,79.62,0.77,425.2,4.8,17.38,18.73,16.04,Rushing
Christian McCaffrey,2015,Stanford,14,190.29,0.93,435.4,4.5,32.19,43.7,20.67,Rushing
Conor Hundley,2015,Akron,13,76.23,0.77,358.2,2.9,23.92,21.28,26.55,Rushing
D.J. Knox,2015,Purdue,10,59.8,0.2,368.6,3.3,11.14,16.22,6.06,Rushing
D'Andre Ferby,2015,Western Kentucky,13,52.54,0.85,526.9,5.7,12.44,9.97,14.91,Rushing
D'Angelo Brewer,2015,Tulsa,11,85.82,0.64,507.4,4.4,15.73,16.91,14.55,Rushing
D'Onta Foreman,2015,Texas,10,73.6,0.5,370.8,3.1,17.99,19.85,16.13,Rushing
Dak Prescott,2015,Mississippi State,13,45.23,0.77,460.5,4.1,14.3,9.82,18.78,Rushing
Dalvin Cook,2015,Florida State,12,161.25,1.67,424,3.8,40.99,38.03,43.95,Rushing
Dalyn Dawkins,2015,Colorado State,12,87.08,0.25,425.8,3.3,14.01,20.45,7.58,Rushing
Damarcus Smith,2015,North Texas,10,42.7,0.2,320.1,1.6,12.92,13.34,12.5,Rushing
Damien Harris,2015,Alabama,10,17,0.1,427.1,3.7,3.34,3.98,2.7,Rushing
Damion Jones-Moore,2015,Toledo,10,43.6,0.5,461.4,4.1,10.82,9.45,12.2,Rushing
Dare Ogunbowale,2015,Wisconsin,13,86,0.62,378.6,3.2,21.05,22.72,19.38,Rushing
Darian Green,2015,Ball State,12,67.83,0.5,371.6,2.7,18.39,18.25,18.52,Rushing
Darik Dillard,2015,Rice,12,67.08,0.5,402.3,3.5,15.48,16.67,14.29,Rushing
Darius Jackson,2015,Eastern Michigan,12,107.42,1.33,380.8,3.2,34.89,28.21,41.56,Rushing
Darius Tice,2015,South Florida,13,36.15,0.31,441.6,4.2,7.78,8.19,7.38,Rushing
Daz'Mond Patterson,2015,Ohio,12,47.08,0.75,413.7,2.9,18.62,11.38,25.86,Rushing
De'Veon Smith,2015,Michigan,12,76,0.58,395.9,3.7,17.44,19.2,15.68,Rushing
Deandre Washington,2015,Texas Tech,13,144.38,1.23,579.5,5.6,23.44,24.91,21.96,Rushing
Demario Richard,2015,Arizona State,12,117.25,0.83,477.4,3.8,23.2,24.56,21.84,Rushing
Derrick Henry,2015,Alabama,15,154,1.87,427.1,3.7,43.3,36.06,50.54,Rushing
Deshaun Watson,2015,Clemson,15,73.67,0.8,514.5,4.6,15.86,14.32,17.39,Rushing
DeShone Kizer,2015,Notre Dame,13,40.38,0.77,466.8,4.1,13.72,8.65,18.78,Rushing
Desmond Anderson,2015,Middle Tennessee State,8,57,0.5,462.3,4.2,12.12,12.33,11.9,Rushing
Devante Mays,2015,Utah State,13,75,0.69,370.2,3.3,20.58,20.26,20.91,Rushing
Devin Chafin,2015,Baylor,10,58.7,1,616.2,6.6,12.34,9.53,15.15,Rushing
Devine Redding,2015,Indiana,13,84.38,0.69,504.3,4.2,16.58,16.73,16.43,Rushing
Devon Johnson,2015,Marshall,7,93.71,0.86,400.4,3.4,24.35,23.4,25.29,Rushing
Devontae Booker,2015,Utah,10,157.7,1.1,363,3,40.06,43.44,36.67,Rushing
Dexter Williams,2015,Notre Dame,6,13.5,0.17,466.8,4.1,3.48,2.89,4.07,Rushing
Don Jackson,2015,Nevada,13,88.92,0.69,375.1,3,23.35,23.71,23,Rushing
Donnel Pumphrey,2015,San Diego State,14,147.64,1.43,375.3,3.5,40.1,39.34,40.86,Rushing
Donnell Alexander,2015,Akron,12,41,0.25,358.2,2.9,10.03,11.45,8.62,Rushing
Dontrell Hilliard,2015,Tulane,12,76.08,0.58,317,2.4,24.08,24,24.17,Rushing
Doroland Dorceus,2015,Memphis,13,67.54,0.85,486.9,4.5,16.38,13.87,18.89,Rushing
Elijah Hood,2015,North Carolina,14,109.57,1.21,486.9,5.1,23.11,22.5,23.73,Rushing
Elijah McGuire,2015,Louisiana-Lafayette,12,112.58,1.33,380.4,3.2,35.58,29.6,41.56,Rushing
Elijhaa Penny,2015,Idaho,12,116.5,1,428.4,3.3,28.75,27.19,30.3,Rushing
Ezekiel Elliott,2015,Ohio State,13,155.92,1.77,434.1,4.5,37.63,35.92,39.33,Rushing
Fred Coppet,2015,Bowling Green State,14,64.36,0.36,546.8,5.8,8.99,11.77,6.21,Rushing
Fredi Knighten,2015,Arkansas State,10,40.9,0.5,439.2,4.5,10.21,9.31,11.11,Rushing
Gerald Holmes,2015,Michigan State,12,52.67,0.67,385.6,3.6,16.14,13.66,18.61,Rushing
Gerard Wicks,2015,Washington State,13,56.77,0.23,469.6,3.8,9.07,12.09,6.05,Rushing
Greg Howell,2015,Florida Atlantic,12,54.33,0.25,375.3,2.3,12.67,14.48,10.87,Rushing
Greg Ward Jr.,2015,Houston,14,79.57,1.5,484.6,4.9,23.52,16.42,30.61,Rushing
Hosey Williams,2015,Cincinnati,13,62.62,0.31,537.8,4.1,9.6,11.64,7.56,Rushing
Hyleck Foster,2015,Marshall,11,49.64,0.27,400.4,3.4,10.17,12.4,7.94,Rushing
Imani Cross,2015,Nebraska,12,38.42,0.5,446.9,3.9,10.71,8.6,12.82,Rushing
Ish Witter,2015,Missouri,12,55.08,0.08,280.9,1.2,13.14,19.61,6.67,Rushing
Ito Smith,2015,Southern Mississippi,14,117.36,0.93,509.5,5.1,20.63,23.03,18.24,Rushing
Izzy Matthews,2015,Colorado State,10,63.3,0.5,425.8,3.3,15.01,14.87,15.15,Rushing
J.T. Barrett,2015,Ohio State,11,62,1,434.1,4.5,18.25,14.28,22.22,Rushing
Jacobi Owens,2015,Air Force,14,78.29,0.5,451.4,4.3,14.49,17.34,11.63,Rushing
Jacques Patrick,2015,Florida State,9,41.78,0.56,424,3.8,12.24,9.85,14.62,Rushing
Jahad Thomas,2015,Temple,14,105.57,1.29,366.7,3.2,34.55,28.79,40.31,Rushing
Jalen Hurd,2015,Tennessee,13,113.46,1.08,422.3,3.8,27.64,26.87,28.42,Rushing
Jalen Richard,2015,Southern Mississippi,13,106.31,1.23,509.5,5.1,22.49,20.87,24.12,Rushing
Jalin Moore,2015,Appalachian State,11,66.45,0.45,466.3,4.4,12.24,14.25,10.23,Rushing
Jamauri Bogan,2015,Western Michigan,13,82,1.23,490.8,4.5,22.02,16.71,27.33,Rushing
James Butler,2015,Nevada,13,106.85,0.77,375.1,3,27.08,28.49,25.67,Rushing
James Gilbert,2015,Ball State,12,53.58,0.67,371.6,2.7,19.62,14.42,24.81,Rushing
James Summers,2015,East Carolina,10,45.3,0.8,415.7,3.4,17.21,10.9,23.53,Rushing
Jared Baker,2015,Arizona,12,74.92,0.83,494.8,4.5,16.79,15.14,18.44,Rushing
Jarveon Williams,2015,UTSA,11,99.91,0.73,362.1,2.7,27.31,27.59,27.04,Rushing
Jarvion Franklin,2015,Western Michigan,13,70.69,0.38,490.8,4.5,11.42,14.4,8.44,Rushing
Jasen Oden,2015,Colorado State,12,66.42,0.58,425.8,3.3,16.59,15.6,17.58,Rushing
Jay Warren,2015,Florida Atlantic,11,39,0.27,375.3,2.3,11.07,10.39,11.74,Rushing
Jaylen Walton,2015,Mississippi,12,74.5,0.42,517.8,4.9,11.48,14.39,8.57,Rushing
Jeffrey Wilson,2015,North Texas,10,90,0.1,320.1,1.6,17.18,28.12,6.25,Rushing
Jeremy McNichols,2015,Boise State,12,149.75,2.17,501.3,4.6,38.52,29.87,47.17,Rushing
Jerrod Heard,2015,Texas,12,47,0.25,370.8,3.1,10.37,12.68,8.06,Rushing
Jhurell Pressley,2015,New Mexico,13,69.92,0.85,388.9,3.7,20.48,17.98,22.97,Rushing
Joe Hubener,2015,Kansas State,13,47.15,1,333,3.3,22.23,14.16,30.3,Rushing
Joe Mixon,2015,Oklahoma,13,85.31,0.85,530.2,5.4,15.92,16.09,15.74,Rushing
Joe Williams,2015,Utah,10,56.1,0.3,363,3,12.73,15.45,10,Rushing
Joel Bouagnon,2015,Northern Illinois,14,101.21,1.29,398.6,3.8,29.67,25.39,33.95,Rushing
Johnathan Gray,2015,Texas,10,57.7,0.3,370.8,3.1,12.62,15.56,9.68,Rushing
Johnny Jefferson,2015,Baylor,11,92.45,0.73,616.2,6.6,13.03,15,11.06,Rushing
Johnston White,2015,Arkansas State,13,48.31,1.08,439.2,4.5,17.5,11,24,Rushing
Jojo Kemp,2015,Kentucky,12,47.25,0.5,372,2.6,15.97,12.7,19.23,Rushing
Jordan Canzeri,2015,Iowa,12,99.33,1.08,386.1,3.7,27.46,25.73,29.19,Rushing
Jordan Fredericks,2015,Syracuse,12,55.17,0.42,320.1,2.9,15.86,17.24,14.48,Rushing
Jordan Howard,2015,Indiana,9,146.56,1.11,504.3,4.2,27.75,29.06,26.43,Rushing
Jordan Johnson,2015,Buffalo,12,73.33,1,386.8,2.7,28,18.96,37.04,Rushing
Jordan Parker,2015,Middle Tennessee State,11,48.82,0.55,462.3,4.2,11.83,10.56,13.1,Rushing
Jordan Scarlett,2015,Florida,9,20.22,0.11,334.9,2.8,5,6.04,3.97,Rushing
Joseph Yearby,2015,Miami (FL),13,98.08,0.62,397,2.9,23.04,24.71,21.38,Rushing
Josh Adams,2015,Notre Dame,12,73.33,0.58,466.8,4.1,14.93,15.71,14.15,Rushing
Josh Ferguson,2015,Illinois,9,109.78,0.56,372.7,2.4,26.39,29.46,23.33,Rushing
Josh Hicks,2015,Rutgers,12,58.25,0.42,377,3,14.73,15.45,14,Rushing
Joshua Dobbs,2015,Tennessee,13,56.08,0.92,422.3,3.8,18.75,13.28,24.21,Rushing
Jovon Robinson,2015,Auburn,8,82.38,0.38,369.9,3,17.47,22.27,12.67,Rushing
Justin Davis,2015,Southern California,13,83.92,0.54,437.9,4,16.33,19.16,13.5,Rushing
Justin Jackson,2015,Northwestern,13,121.54,0.38,327.1,1.8,29.13,37.16,21.11,Rushing
Justin Thomas,2015,Georgia Tech,12,40.42,0.5,378,3.7,12.1,10.69,13.51,Rushing
Kalen Ballage,2015,Arizona State,10,71.3,0.4,477.4,3.8,12.73,14.94,10.53,Rushing
Kalif Phillips,2015,Charlotte,12,87.17,0.42,337.1,1.8,24.6,25.86,23.33,Rushing
Kareem Hunt,2015,Toledo,10,101.8,1.2,461.4,4.1,25.67,22.06,29.27,Rushing
Karson Roberts,2015,Air Force,12,63.58,0.92,451.4,4.3,17.74,14.09,21.4,Rushing
Ke'aun Kinner,2015,Kansas,12,59.25,0.42,331.5,1.7,21.29,17.87,24.71,Rushing
Ke'Shawn Vaughn,2015,Illinois,11,76.55,0.55,372.7,2.4,21.73,20.54,22.92,Rushing
Keenan Reynolds,2015,Navy,13,109.23,1.85,425.2,4.8,32.12,25.69,38.54,Rushing
Keith Whitely,2015,UNLV,12,72.08,0.33,404.7,3.4,13.76,17.81,9.71,Rushing
Kelsey Young,2015,Boise State,13,44.31,0.62,501.3,4.6,11.16,8.84,13.48,Rushing
Kelvin Taylor,2015,Florida,14,84.64,0.93,334.9,2.8,29.24,25.27,33.21,Rushing
Kenneth Dixon,2015,Louisiana Tech,11,139.73,2.36,482.5,4.3,41.92,28.96,54.88,Rushing
Kenneth Farrow,2015,Houston,12,89.75,1,484.6,4.9,19.46,18.52,20.41,Rushing
Kenny Potter,2015,San Jose State,11,37.73,0.64,404.6,3.4,14.07,9.33,18.82,Rushing
Kevin Ellison,2015,Georgia Southern,11,64.73,0.73,425.9,4.5,15.71,15.2,16.22,Rushing
Khalfani Muhammad,2015,California,12,64.58,0.25,528.8,4.6,8.82,12.21,5.43,Rushing
La Ramsby,2015,Georgia Southern,13,64.38,1,425.9,4.5,18.67,15.12,22.22,Rushing
Lamar Jackson,2015,Louisville,12,80,0.92,416.1,3.4,23.14,19.23,27.06,Rushing
Lamar Jordan,2015,New Mexico,12,67.25,0.75,388.9,3.7,18.78,17.29,20.27,Rushing
Larry Rose III,2015,New Mexico State,12,161.67,1.33,434.2,3.5,37.62,37.23,38,Rushing
Leonard Fournette,2015,LSU,12,183.83,1.92,437.3,4,45.02,42.04,48,Rushing
Leshun Daniels Jr,2015,Iowa,12,54.58,0.67,386.1,3.7,16.12,14.14,18.11,Rushing
Lexington Thomas,2015,UNLV,12,50.5,0.25,404.7,3.4,9.92,12.48,7.35,Rushing
LJ Scott,2015,Michigan State,14,51,0.79,385.6,3.6,17.59,13.23,21.94,Rushing
Madre London,2015,Michigan State,11,47.55,0.27,385.6,3.6,9.92,12.33,7.5,Rushing
Marcus Cox,2015,Appalachian State,12,132.33,0.92,466.3,4.4,24.64,28.38,20.91,Rushing
Marcus Marshall,2015,Georgia Tech,11,62.82,0.36,378,3.7,13.17,16.62,9.73,Rushing
Mark Walton,2015,Miami (FL),13,58,0.77,397,2.9,20.58,14.61,26.55,Rushing
Markell Jones,2015,Purdue,12,92.83,0.92,368.6,3.3,26.53,25.18,27.88,Rushing
Marlon Mack,2015,South Florida,12,124.33,0.75,441.6,4.2,23.01,28.15,17.86,Rushing
Marquis Young,2015,Massachusetts,12,86.58,0.58,399.8,2.8,21.19,21.66,20.71,Rushing
Marquise Williams,2015,North Carolina,14,70.36,1,486.9,5.1,17.03,14.45,19.61,Rushing
Marteze Waller,2015,Fresno State,12,89.25,0.58,315.2,2.9,24.16,28.32,20,Rushing
Matt Breida,2015,Georgia Southern,13,124.23,1.31,425.9,4.5,29.14,29.17,29.11,Rushing
Matt Davis,2015,Southern Methodist,12,63.42,0.83,382.8,3.5,20.14,16.57,23.71,Rushing
Matt Dayes,2015,North Carolina State,8,129.63,1.5,413.3,4.3,33.12,31.36,34.88,Rushing
Michael Gordon,2015,Arkansas State,13,88.38,0.85,439.2,4.5,19.51,20.12,18.89,Rushing
Mike Boone,2015,Cincinnati,11,77.91,0.82,537.8,4.1,17.24,14.49,20,Rushing
Mike Warren,2015,Iowa State,12,117.42,0.42,408.3,3,21.38,28.76,14,Rushing
Myles Gaskin,2015,Washington,13,101.62,1.08,403.1,3.4,28.49,25.21,31.76,Rushing
Nick Chubb,2015,Georgia,6,129.83,1.33,375.5,2.8,41.04,34.58,47.5,Rushing
Nick Wilson,2015,Arizona,9,87.56,0.89,494.8,4.5,18.74,17.7,19.78,Rushing
Patrick Mahomes,2015,Texas Tech,13,35.31,0.77,579.5,5.6,9.92,6.09,13.75,Rushing
Paul Harris,2015,Hawaii,12,107.83,0.5,316.3,2.1,28.95,34.09,23.81,Rushing
Paul James,2015,Rutgers,10,58.4,0.5,377,3,16.08,15.49,16.67,Rushing
Paul Perkins,2015,UCLA,13,121.92,1.15,465.8,3.8,28.22,26.17,30.26,Rushing
Perry Hills,2015,Maryland,9,59.44,0.33,375,3,13.43,15.85,11,Rushing
Peyton Barber,2015,Auburn,13,86.85,1,369.9,3,28.41,23.48,33.33,Rushing
Phillip Lindsay,2015,Colorado,13,67.23,0.54,396.8,2.8,18.11,16.94,19.29,Rushing
Qadree Ollison,2015,Pittsburgh,13,92.15,0.92,377.5,3.1,27.04,24.41,29.68,Rushing
Quinton Flowers,2015,South Florida,13,76.23,0.92,441.6,4.2,19.58,17.26,21.9,Rushing
Ralph Webb,2015,Vanderbilt,12,111.67,0.58,327.2,1.7,34.12,34.13,34.12,Rushing
Ray Lawry,2015,Old Dominion,11,117.09,1.09,371.3,3,33.93,31.54,36.33,Rushing
Robert Lowe,2015,Texas State,11,96.36,0.91,418.3,3.1,26.2,23.04,29.35,Rushing
Robert Martin,2015,Rutgers,12,65,0.5,377,3,16.95,17.24,16.67,Rushing
Rodney Smith,2015,Minnesota,12,66.17,0.17,358.9,2.5,12.62,18.44,6.8,Rushing
Ronald Jones,2015,Southern California,14,73.29,0.64,437.9,4,16.37,16.74,16,Rushing
Royce Freeman,2015,Oregon,13,168.15,1.46,538.4,5.1,29.93,31.23,28.63,Rushing
Rushel Shell,2015,West Virginia,13,62.23,0.62,479.7,3.9,14.44,12.97,15.9,Rushing
Russell Hansbrough,2015,Missouri,11,45,0.09,280.9,1.2,11.76,16.02,7.5,Rushing
Samaje Perine,2015,Oklahoma,13,112,1.31,530.2,5.4,22.69,21.12,24.26,Rushing
Saquon Barkley,2015,Penn State,11,112.45,0.73,348.4,2.7,29.66,32.28,27.04,Rushing
Seth Collins,2015,Oregon State,8,71.88,1,336.4,2.1,34.49,21.37,47.62,Rushing
Shane Tucker,2015,Middle Tennessee State,10,54.6,0.3,462.3,4.2,9.48,11.81,7.14,Rushing
Shannon Brooks,2015,Minnesota,11,79.64,0.64,358.9,2.5,23.9,22.19,25.6,Rushing
Shaq Vann,2015,Eastern Michigan,12,69.33,0.5,380.8,3.2,16.92,18.21,15.63,Rushing
Shaquille Powell,2015,Duke,13,57.69,0.38,439.4,3.3,12.32,13.13,11.52,Rushing
Shaun Wilson,2015,Duke,11,57.36,0.36,439.4,3.3,11.98,13.05,10.91,Rushing
Shock Linwood,2015,Baylor,12,116.67,0.92,616.2,6.6,16.44,18.93,13.94,Rushing
Skyler Howard,2015,West Virginia,13,38.62,0.46,479.7,3.9,9.92,8.05,11.79,Rushing
Sony Michel,2015,Georgia,13,108.15,0.85,375.5,2.8,29.58,28.8,30.36,Rushing
Stanley Boom Williams,2015,Kentucky,10,92.9,0.6,372,2.6,24.03,24.97,23.08,Rushing
Storm Woods,2015,Oregon State,11,59.36,0.09,336.4,2.1,10.97,17.65,4.29,Rushing
Taiwan Deal,2015,Wisconsin,10,50.7,0.6,378.6,3.2,16.07,13.39,18.75,Rushing
Taquan Mizzell,2015,Virginia,12,115.42,0.67,383,2.9,26.62,30.14,23.1,Rushing
Taylor Lamb,2015,Appalachian State,13,33.54,0.38,466.3,4.4,7.91,7.19,8.64,Rushing
Terence Williams,2015,Baylor,9,62.56,0.33,616.2,6.6,7.58,10.15,5,Rushing
Teriyon Gipson,2015,New Mexico,12,86.25,0.5,388.9,3.7,17.85,22.18,13.51,Rushing
Terrell Newby,2015,Nebraska,13,71.08,0.54,446.9,3.9,14.88,15.91,13.85,Rushing
Terry Swanson,2015,Toledo,11,90.36,0.64,461.4,4.1,17.6,19.58,15.61,Rushing
Thomas Sirk,2015,Duke,12,67.42,0.67,439.4,3.3,17.82,15.34,20.3,Rushing
Thomas Woodson,2015,Akron,12,51.42,0.33,358.2,2.9,12.87,14.36,11.38,Rushing
Tion Green,2015,Cincinnati,13,63.85,0.62,537.8,4.1,13.5,11.87,15.12,Rushing
Tommy Armstrong Jr,2015,Nebraska,12,33.33,0.58,446.9,3.9,11.16,7.46,14.87,Rushing
Torrey Pierce,2015,Louisiana-Lafayette,12,37.75,0.33,380.4,3.2,10.12,9.92,10.31,Rushing
Tra Carson,2015,Texas A&M,13,103.69,0.62,427.5,2.8,23.2,24.25,22.14,Rushing
Travis Greene,2015,Bowling Green State,14,109.64,1.21,546.8,5.8,20.46,20.05,20.86,Rushing
Travis Wilson,2015,Utah,12,40.92,0.58,363,3,15.3,11.27,19.33,Rushing
Travon McMillian,2015,Virginia Tech,13,85.15,0.62,385.2,3.3,20.45,22.11,18.79,Rushing
Trayion Durham,2015,Kent State,12,35.67,0.25,273.3,1.3,16.14,13.05,19.23,Rushing
